candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,support_mode,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
sparse_random_n3_d1d25_mind3_s1,sparse_random,3,1.25,3.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.7392445063324597,0.6545044829667963,0.6566609459073562,random sparse 3-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind3_s1.json,0.00017465235993674986,0.32698963857702107,0.39252394122688017,1.0,0.00013843859337386098,0.07820089713626915,1.0,0.4714972222222223,0.6583333333333333,0.28422222222222226,0.5496031746031745,0.5916666666666667,0.33379917184265,0.15830562195518444,0.24173632719086124,0.0,0.4997946321964264,0.011105071753263474,0.7791767716407776,0.09504975378513336,1.636155896120456e-06,1.1231444353369148e-06,638578.2463475146,890357.4362633292,-1.8108326804471806
sparse_random_n3_d1d25_mind6_s0,sparse_random,3,1.25,6.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.862080441433776,0.6383288966985973,0.645600823276861,random sparse 3-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind6_s0.json,0.0001739163893195205,0.12868673499179764,0.5672466916908319,1.0,0.00018074020658021467,0.043151811753509205,1.0,0.43865277777777784,0.575,0.29678611111111114,0.33357487922705314,0.36666666666666664,0.15610766045548652,0.053679780884511065,0.0920338005449063,0.0,0.14635375142097473,0.009098893031477928,0.49864643812179565,0.0912594273686409,2.3185711087373946e-06,1.4923700573834794e-06,456841.38683558034,670075.0896552195,-1.1576871047902513
sparse_random_n3_d1d25_mind6_s1,sparse_random,3,1.25,6.0,3.6815538909255388,physical_padded,phase0_default,"0,9,18,27,36",1.7392445063324597,0.6545044829667963,0.6566609459073562,random sparse 3-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n3_d1d25_mind6_s1.json,0.00017465235993674986,0.32698963857702107,0.39252394122688017,1.0,0.00013843859337386098,0.07820089713626915,1.0,0.4690861111111111,0.6666666666666666,0.2828611111111111,0.5496031746031745,0.5916666666666667,0.33379917184265,0.15830562195518444,0.24173632719086124,0.0,0.2804374396800995,0.007672383449971676,0.6260809302330017,0.08863749355077744,1.636155896120456e-06,1.1231444353369148e-06,638578.2463475146,890357.4362633292,-1.8047332169966694
sparse_random_n5_d0d75_mind3_s0,sparse_random,5,0.75,3.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",1.1084502587398677,0.39492339659447145,0.39782714103096095,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind3_s0.json,9.928803033431254e-05,0.16236677001569214,0.5673044934927426,1.0,0.00010758667630469119,0.04870718409814243,1.0,0.43833333333333335,0.54,0.13253666666666666,0.36366459627329195,0.4,0.0052173913043478265,0.13072844586412424,0.28711951965796134,0.0,0.2781723439693451,0.015438561327755451,0.5395483374595642,0.1377863734960556,1.094122424122063e-06,8.508122866532893e-07,927823.0846321478,1175347.3894148234,-1.4698788370853533
sparse_random_n5_d0d75_mind3_s1,sparse_random,5,0.75,3.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",1.2533154684838939,0.4451357328319415,0.444336250752457,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind3_s1.json,0.00011342410837488116,0.17881187673976554,0.5400593335492575,1.0,0.00011945402841247242,0.05274785275927723,1.0,0.40019,0.56,0.09429666666666667,0.3294099378881988,0.37,0.00010351966873706004,0.15924354113369332,0.35402933769861206,0.0,0.3262500762939453,0.015802694484591484,0.5412966012954712,0.14783181250095367,1.0100510230523547e-06,8.024916259635571e-07,1010055.5347376136,1246118.922174787,-1.4248926926769805
sparse_random_n5_d0d75_mind6_s0,sparse_random,5,0.75,6.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",1.205296340406711,0.41660686530290214,0.42143206330454425,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind6_s0.json,0.0001067423439011163,0.14811416183705506,0.691828059425219,1.0,0.00012156040903473163,0.03136140971436264,1.0,0.4176983333333333,0.55,0.196125,0.27760869565217394,0.3344999999999999,0.03566252587991719,0.08034288852489554,0.28711951965796134,0.0,0.22608548402786255,0.015321323648095131,0.4986096918582916,0.1376248300075531,1.5506251306771289e-06,1.1451800544554974e-06,661807.6046926037,873225.128318772,-1.272339250097285
sparse_random_n5_d0d75_mind6_s1,sparse_random,5,0.75,6.0,2.2089323345553233,physical_padded,phase0_default,"0,9,18,27,36",0.9202029329396273,0.3545424386931655,0.3574928791313468,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind6_s1.json,8.812985008451371e-05,0.17576022354672932,0.3668778423306016,1.0,6.899158301037062e-05,0.08818166322487629,1.0,0.5236933333333333,0.645,0.28947833333333334,0.5870082815734989,0.63,0.34650103519668735,0.08192689879697876,0.23634446021857478,0.0,0.21935223042964935,0.01290224026888609,0.5581203103065491,0.14284834265708923,8.463356600297795e-07,6.326432017341382e-07,1234968.3784036646,1580669.7950106792,-1.9636952751882444
sparse_random_n5_d1d25_mind3_s0,sparse_random,5,1.25,3.0,6.135923151542564,physical_padded,phase0_default,"0,9,18,27,36",2.963327273535442,0.9826048458717175,0.9907706851818241,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind3_s0.json,0.0002756282468213293,0.15876287317161974,0.5534242497881902,1.0,0.0002993291205115391,0.04064448909650976,1.0,0.43937166666666666,0.54,0.13461166666666669,0.36290890269151144,0.4,0.005714285714285716,0.15258748540683317,0.3404142166388544,0.0,0.32451626658439636,0.015717286616563797,0.5171154141426086,0.07939942926168442,2.1190117396865218e-06,1.6251470829941378e-06,479868.9092157092,615328.9203569319,-1.3897824082746186
sparse_random_n5_d1d25_mind3_s1,sparse_random,5,1.25,3.0,6.135923151542564,physical_padded,phase0_default,"0,9,18,27,36",3.3632236818550743,1.1204634623952228,1.1186372493344283,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind3_s1.json,0.0003145666349844061,0.1762950316438762,0.5474854022840753,1.0,0.00033166956742498334,0.04732402714364687,1.0,0.4010633333333333,0.555,0.09387333333333334,0.32968944099378883,0.365,0.00039337474120082814,0.18625915421157596,0.40691198171304954,0.0,0.19766873121261597,0.015169541351497173,0.5339492559432983,0.07628854364156723,1.9377112824852226e-06,1.5389618151841146e-06,525713.1949794112,649788.7017946345,-1.3363651079082248
sparse_random_n5_d1d25_mind6_s0,sparse_random,5,1.25,6.0,6.135923151542564,physical_padded,phase0_default,"0,9,18,27,36",3.220541111871797,1.0430993579098882,1.055839861871844,random sparse 5-hole candidate with minimum spacing,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind6_s0.json,0.00029622377730605245,0.1426811994207259,0.7030168108630577,1.0,0.0003340629544089624,0.025108073459092026,1.0,0.4160533333333334,0.545,0.19454833333333332,0.2850828157349896,0.33,0.04458592132505177,0.09516140879700999,0.3404142166388544,0.0,0.12200736999511719,0.014887374825775623,0.47312840819358826,0.07850965857505798,2.929900685611754e-06,2.135393284914951e-06,350936.9576553129,468297.81055522437,-1.2007695063885577
