candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,phase0_default,"0,9,18,27,36",2.7385137059441433,0.5712934533831163,0.6520628417615594,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.0002858973830916214,0.19745823396055417,0.42743204564921283,1.0,0.00020039742556012184,0.0072530242315941365,1.0,0.5181666666666667,0.6666666666666666,0.41241666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.026739614094634618,0.041042956207620836,0.0,0.0,0.0,0.6351759433746338,0.16357390582561493,6.032934039736948e-05,4.623749001213201e-05,17006.106077652687,21627.471554740867,-1.8143110072043955
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,phase1,"1,10,19,28,37",2.738937928813317,0.57297317503139,0.6534794234892785,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.00028594204616254093,0.19810777304884586,0.06802247870535352,1.0,0.00020039858142703582,0.007270597442845171,1.0,0.5168333333333334,0.6666666666666666,0.41625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.02643881925643746,0.040561254864133284,0.0,0.030341390520334244,0.0,0.6706565022468567,0.12685179710388184,5.1735920680022385e-05,3.410554539991199e-05,21297.062741880272,29320.745007132493,-1.794141483792665
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,phase2,"2,11,20,29,38",2.739144429335025,0.5744298572929929,0.6558574300833544,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.00028596022110839383,0.19769671945505274,0.1539326521388711,1.0,0.00020040046002770204,0.007296578800932508,1.0,0.51125,0.6666666666666666,0.4088333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.02671504979155478,0.04100022761318716,0.0,0.24343451857566833,0.0,0.7172833681106567,0.18685147166252136,5.347374956277897e-05,3.499164821523612e-05,22026.496673923677,28578.247982173598,-1.817691599295858
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,phase3,"3,12,21,30,39",2.739057146451232,0.575106127340258,0.6587896643166598,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.0002859462596864409,0.19797956818624654,0.0680635401353144,1.0,0.00020040218080666407,0.007318169049370119,1.0,0.5175833333333334,0.6666666666666666,0.415,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.027447255352068985,0.04213837535896639,0.0,0.3290401101112366,0.0,0.5649439692497253,0.17487922310829163,4.9903843932890544e-05,3.326362056772058e-05,21401.265532991394,30062.872980532135,-1.8204434328462176
blue_noise_n3_d1d25_mind6_s1,blue_noise,3,1.25,6.0,3.6815538909255388,phase4,"4,13,22,31,40",2.73824730377412,0.570832002053232,0.6582479297449386,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s1.json,0.00028584146544318974,0.19828651793326935,0.15524844943181865,1.0,0.00020040293786094076,0.0073250490645121735,1.0,0.5195000000000001,0.6666666666666666,0.41983333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.027190093843679024,0.04175681359624184,0.0,0.0,0.0,0.6330565214157104,0.15226192772388458,4.798161592477017e-05,3.072637480807421e-05,21898.86887284631,32545.329745089948,-1.811235634148731
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,phase0_default,"0,9,18,27,36",1.59841594855184,0.34292371640421476,0.39379741772828614,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,0.00015616058839144795,0.13799689299388287,0.4481717862284384,1.0,0.00012856541710181972,0.07511967940975046,1.0,0.56,0.64,0.30615000000000003,0.6385333333333333,0.68,0.39293333333333325,0.04518369211816729,0.19238618238932634,0.0,0.18057209253311157,0.0,0.7631346583366394,0.07640760391950607,2.1470227866544338e-05,1.931170026390151e-05,46967.21346431319,51782.079585672465,-1.9640453951337467
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,phase1,"1,10,19,28,37",1.5979271772477652,0.34313414780521234,0.3950794206413158,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,0.0001562623494951741,0.13796727023450778,0.447879927974404,1.0,0.0001286692861454374,0.07610773876963639,1.0,0.5596,0.64,0.3022,0.6386666666666666,0.68,0.3926666666666666,0.04665320070118872,0.2055010355396182,0.0,0.10533330589532852,0.0,0.423400342464447,0.09001267701387405,2.0344467234048683e-05,1.7833242227261636e-05,49590.61294959377,56075.05282866076,-1.9827760962523189
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,phase2,"2,11,20,29,38",1.5944707694810716,0.3426180370496046,0.39577614975905695,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,0.00015617295501725692,0.13794365972394945,0.4481362975412243,1.0,0.00012877450692968636,0.07563846949038788,1.0,0.56075,0.64,0.30335,0.6379999999999999,0.68,0.39239999999999997,0.04899450297076979,0.22199880230762126,0.0,0.0798172801733017,0.0,0.3634403944015503,0.13625700771808624,2.0341941220352912e-05,1.6872218103088626e-05,50915.35888067829,59269.029945561226,-2.020953446413254
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,phase3,"3,12,21,30,39",1.5918257348726992,0.3431877867979159,0.3955002073246296,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,0.0001561225091244564,0.13815290669751273,0.40122361935913836,1.0,0.00012828183569938632,0.07666380611359437,1.0,0.5642999999999999,0.68,0.31335,0.6390666666666667,0.68,0.39306666666666656,0.05109410905404541,0.23675181341659488,0.0,0.09426530450582504,0.0,0.2986392080783844,0.1262190341949463,1.9625201649597447e-05,1.615570972149102e-05,53396.683544441046,61897.621165460594,-2.0359779920001984
blue_noise_n5_d0d75_mind3_s0,blue_noise,5,0.75,3.0,2.2089323345553233,phase4,"4,13,22,31,40",1.5939840140599806,0.34434355916210563,0.3929250319721117,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s0.json,0.0001561030246238607,0.13840201948478015,0.44833705180192507,1.0,0.00012829923899159844,0.07666260533213562,1.0,0.5611499999999999,0.64,0.30765,0.6382666666666668,0.68,0.39319999999999994,0.05094050760193455,0.23683247615695743,0.0,0.06773004680871964,0.0,0.5581761598587036,0.1330632120370865,1.8030140236783566e-05,1.5107110262021689e-05,56928.17926744199,66193.99624784206,-2.034216184785739
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,phase0_default,"0,9,18,27,36",1.4812876264478623,0.3383088645640713,0.36837848831052694,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,0.00014719873014956423,0.23260796394046948,0.46682203227553404,1.0,0.00010797650749638165,0.09796238937807038,1.0,0.5834999999999999,0.68,0.37540000000000007,0.6858666666666666,0.72,0.4935999999999999,0.055318613238844294,0.3393702702825661,0.0,0.007925879210233688,0.0,0.6127402782440186,0.06974372267723083,2.0765639728226165e-05,1.6066503516383154e-05,49647.23837529626,62241.295934755886,-2.254427318382808
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,phase1,"1,10,19,28,37",1.4781268054752998,0.3369073827254877,0.3701872170835977,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,0.00014706917596960127,0.23312152135867012,0.42061034446792245,1.0,0.00010786845165366273,0.09557449930052933,1.0,0.5886499999999999,0.72,0.3808,0.6830666666666665,0.72,0.49346666666666666,0.05603589890973135,0.3453492321568718,0.0,0.0472591258585453,0.0,0.46373724937438965,0.0753958448767662,1.8955560614743376e-05,1.3220079145331133e-05,56897.330316682834,75642.51234858642,-2.2633114400684455
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,phase2,"2,11,20,29,38",1.4746654446538026,0.33641944644125804,0.37235348425850257,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,0.00014718727098724085,0.23272775119442296,0.4660882646815128,1.0,0.00010791156733065559,0.09357340252539083,1.0,0.5896,0.72,0.382,0.6837333333333333,0.72,0.4943999999999999,0.05714350517324819,0.3486150573824907,0.0,0.07371912151575089,0.0,0.47353941202163696,0.1338987797498703,1.960100482319606e-05,1.3708830454142986e-05,56771.624146482805,72945.68295560086,-2.297212962557397
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,phase3,"3,12,21,30,39",1.4707047783972906,0.3350955501000306,0.37259008419037964,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,0.00014710982385834025,0.23320401523917844,0.4211387507699594,1.0,0.0001080708544698253,0.0951194426071235,1.0,0.58215,0.72,0.377,0.6825333333333333,0.72,0.4942666666666667,0.05748840269562239,0.34329195023163067,0.0,0.057349082082509995,0.0,0.47261518239974976,0.18012169003486633,1.8932861450084756e-05,1.4478541505486114e-05,55901.2333680211,69067.73031117026,-2.30538236099143
blue_noise_n5_d0d75_mind3_s1,blue_noise,5,0.75,3.0,2.2089323345553233,phase4,"4,13,22,31,40",1.4693174126929525,0.333945681752292,0.3714099718472193,blue-noise sparse 5-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n5_d0d75_mind3_s1.json,0.00014712001351084128,0.23293046427759478,0.4212399420120148,1.0,0.00010791098030473165,0.09510818612113571,1.0,0.5806999999999999,0.72,0.37205000000000005,0.6845333333333332,0.72,0.4953333333333333,0.05696226828927466,0.33193561697908586,0.0,0.0,0.0,0.5595340132713318,0.11268017441034317,1.778268297515198e-05,1.2528930559023061e-05,58078.73005903334,79815.27196507782,-2.2632866234043263
