candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,actual_min_distance_mm,mask_radius_mm,total_open_area_mm2,hole_centers_mm,comments,json_path
sparse_random_n9_d0d75_mind3_s1,sparse_random,9,0.75,3.0,3.3419930975824297,9.0,3.9760782021995817,"[[0.0, 0.0], [0.26222178250205985, 3.331689901697042], [-2.6615752966122996, 8.353817415717367], [-6.418286512378898, 2.0723449896047783], [-4.121000160558605, -7.030499588900791], [7.55692156487805, -4.001329290694279], [2.2824931326245155, -3.619298466066869], [5.33436091193495, 0.3732284370337895], [-6.1369966218411, -1.502100439881472]]",random sparse 9-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n9_d0d75_mind3_s1.json
sparse_random_n9_d1d25_mind3_s0,sparse_random,9,1.25,3.0,3.163463970234505,9.0,11.044661672776616,"[[0.0, 0.0], [-4.49189978698561, 1.5965850576204839], [-5.185444609031912, -5.887512569583286], [-2.91918829053411, 5.295407541309724], [0.01804441360075116, 6.4702131987409714], [0.7174231484395658, -5.765283533687086], [-6.825134880613376, 4.688081091040521], [4.4687192210003035, -5.8358308602271185], [-8.457293052621988, 0.49088054288643757]]",random sparse 9-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n9_d1d25_mind3_s0.json
sparse_random_n9_d1d25_mind3_s1,sparse_random,9,1.25,3.0,3.3419930975824297,9.0,11.044661672776616,"[[0.0, 0.0], [0.26222178250205985, 3.331689901697042], [-2.6615752966122996, 8.353817415717367], [-6.418286512378898, 2.0723449896047783], [-4.121000160558605, -7.030499588900791], [7.55692156487805, -4.001329290694279], [2.2824931326245155, -3.619298466066869], [5.33436091193495, 0.3732284370337895], [-6.1369966218411, -1.502100439881472]]",random sparse 9-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n9_d1d25_mind3_s1.json
ura_mura_inspired_n3_d0d75_mind3,ura_mura_inspired,3,0.75,3.0,3.0,9.0,1.325359400733194,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n3_d0d75_mind3.json
ura_mura_inspired_n3_d0d75_mind6,ura_mura_inspired,3,0.75,6.0,6.0,9.0,1.325359400733194,"[[0.0, 0.0], [-6.0, 0.0], [6.0, 0.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n3_d0d75_mind6.json
ura_mura_inspired_n3_d1d25_mind3,ura_mura_inspired,3,1.25,3.0,3.0,9.0,3.6815538909255388,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n3_d1d25_mind3.json
ura_mura_inspired_n3_d1d25_mind6,ura_mura_inspired,3,1.25,6.0,6.0,9.0,3.6815538909255388,"[[0.0, 0.0], [-6.0, 0.0], [6.0, 0.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n3_d1d25_mind6.json
ura_mura_inspired_n5_d0d75_mind3,ura_mura_inspired,5,0.75,3.0,3.0,9.0,2.2089323345553233,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0], [-3.0, -6.0], [3.0, 6.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n5_d0d75_mind3.json
ura_mura_inspired_n5_d1d25_mind3,ura_mura_inspired,5,1.25,3.0,3.0,9.0,6.135923151542564,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0], [-3.0, -6.0], [3.0, 6.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n5_d1d25_mind3.json
ura_mura_inspired_n7_d0d75_mind3,ura_mura_inspired,7,0.75,3.0,3.0,9.0,3.0925052683774528,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0], [-3.0, -6.0], [3.0, 6.0], [-6.0, -6.0], [6.0, 6.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n7_d0d75_mind3.json
ura_mura_inspired_n7_d1d25_mind3,ura_mura_inspired,7,1.25,3.0,3.0,9.0,8.59029241215959,"[[0.0, 0.0], [-3.0, 0.0], [3.0, 0.0], [-3.0, -6.0], [3.0, 6.0], [-6.0, -6.0], [6.0, 6.0]]",URA/MURA-inspired sparse-center diagnostic baseline; no fixed-shift decoding,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/ura_mura_inspired_n7_d1d25_mind3.json
